player,team,avg,hr,rbi,ops
김호령,KIA,0.474,0,3,1.208
박민,KIA,0.455,2,6,1.273
구본혁,LG,0.45,0,3,1.06
김지찬,삼성,0.389,0,1,0.976
윤동희,롯데,0.389,1,5,0.985
이주헌,LG,0.389,1,4,1.153
신재인,NC,0.368,1,2,1.061
손호영,롯데,0.364,1,8,1.027
김휘집,NC,0.353,1,3,1.123
허인서,한화,0.348,4,5,1.288
디아즈,삼성,0.333,2,7,1.103
이영빈,LG,0.318,0,3,0.83
카스트로,KIA,0.316,0,4,0.697
안치홍,키움,0.31,1,2,0.838
고명준,SSG,0.3,3,4,1.036
브룩스,키움,0.3,0,0,0.683
전준우,롯데,0.286,0,7,0.661
서호철,NC,0.278,0,4,0.798
홍창기,LG,0.278,0,1,0.687
이재원,LG,0.273,3,5,1.12
문성주,LG,0.25,0,2,0.65
오재원,한화,0.227,0,0,0.454
류지혁,삼성,0.222,1,2,0.753
천성호,LG,0.222,1,6,0.574
안재석,두산,0.217,0,3,0.608
윤도현,KIA,0.208,1,5,0.648
권희동,NC,0.2,0,1,0.581
힐리어드,KT,0.2,0,2,0.683
김영웅,삼성,0.0,0,2,0.174
박동원,LG,1.0,0,1,3.0
문현빈,한화,0.667,0,2,2.0
윤준호,두산,0.571,0,0,1.482
최정,SSG,0.556,2,6,1.822
한승택,KT,0.556,1,5,1.472
장두성,롯데,0.538,0,5,1.317
김성윤,삼성,0.529,0,0,1.058
김인태,두산,0.5,0,3,1.288
김형준,NC,0.5,0,1,1.0
나성범,KIA,0.5,1,4,1.404
박해민,LG,0.5,0,1,1.167
손민석,KT,0.5,0,1,1.1
안치영,KT,0.5,0,1,1.045
안현민,KT,0.5,1,1,1.75
오선진,키움,0.5,0,0,1.0
이서준,롯데,0.5,0,0,1.0
홍대인,SSG,0.5,0,0,1.25
레이예스,롯데,0.462,0,1,1.038
최원준,KT,0.444,0,2,1.101
정수빈,두산,0.438,2,3,1.5
김한홀,롯데,0.429,0,2,0.873
